>> Engine created.
Таблица:  bank
(83, '1', '1301', '02', '00', 0, 1)
(83, '1', '1804', '01', '00', 370400, 1)
(83, '1', '1804', '02', '00', 394300, 1)
(83, '1', '1804', '05', '00', 0, 1)
(83, '1', '1804', '06', '00', 71200, 1)
(83, '1', '1804', '07', '00', 22900, 1)
(83, '1', '1804', '08', '00', 82700, 1)
(83, '1', '1804', '09', '00', 0, 1)
(83, '1', '1804', '10', '00', 0, 1)
(83, '1', '1804', '13', '00', 0, 1)
(83, '1', '1804', '14', '00', 96000, 1)
(83, '1', '1804', '17', '00', 0, 1)
(83, '1', '1804', '18', '00', 0, 1)
(83, '1', '2209', '01', '00', 884, 1)
(83, '1', '2209', '04', '00', 21165, 1)
(83, '1', '2108', '09', '00', 0, 1)
(83, '1', '2108', '11', '00', 7400, 1)
(83, '1', '2406', '03', '00', 0, 1)
(83, '1', '4102', '03', '00', 17040310, 1)
(83, '1', '3101', '02', '00', 0, 1)
(83, '1', '4103', '06', '02', 0, 1)
(83, '1', '4103', '58', '02', 0, 1)
(83, '1', '1305', '01', '00', 37487, 1)
(83, '1', '1305', '02', '00', 315822, 1)
(83, '1', '1305', '03', '00', 31366.000000000004, 1)
(83, '1', '1305', '05', '00', 180299, 1)
(83, '2', '1801', '01', '00', 0, 1)
(83, '2', '1801', '02', '00', 0, 1)
(83, '4', '1101', '01', '00', 511566834.99999994, 1)
(83, '4', '1101', '05', '00', 1781941.9999999998, 1)
(83, '4', '1101', '04', '00', 1012672, 1)
(83, '4', '1102', '02', '02', 0, 1)
(83, '4', '1202', '01', '00', 0, 1)
(83, '4', '1202', '02', '00', 0, 1)
(83, '4', '1305', '01', '00', 203953, 1)
(83, '4', '1305', '02', '00', 1718291, 1)
(83, '4', '1305', '03', '00', 170655, 1)
(83, '4', '1305', '05', '00', 980954, 1)
(83, '4', '2201', '11', '00', 1350000, 1)
(83, '4', '1804', '15', '00', 256900, 1)
(83, '4', '1601', '01', '00', 0, 1)
(83, '4', '1601', '02', '00', 0, 1)
(83, '4', '1102', '32', '02', 0, 1)
(83, '4', '1101', '03', '00', 230280896, 1)
(83, '4', '2101', '03', '00', 0, 1)
(83, '4', '1101', '02', '00', 0, 1)
(83, '4', '2101', '03', '02', 0, 1)
(83, '4', '1101', '06', '00', 0, 1)
(83, '4', '1805', '03', '01', 1136640, 1)
(83, '4', '1805', '04', '01', 7724042.999999999, 1)
(83, '4', '2208', '04', '00', 16278, 1)
(83, '4', '1203', '01', '00', 0, 1)
(83, '4', '1203', '02', '00', 1555777, 1)
(83, '4', '2201', '18', '00', 0, 1)
(83, '5', '1805', '02', '00', 0, 1)
(83, '5', '1101', '06', '01', 0, 1)
(87, '1', '1301', '02', '00', 0, 1)
(87, '1', '1804', '01', '00', 479900, 1)
(87, '1', '1804', '02', '00', 91900, 1)
(87, '1', '1804', '06', '00', 126700, 1)
(87, '1', '1804', '07', '00', 0, 1)
(87, '1', '1804', '08', '00', 62000, 1)
(87, '1', '1804', '09', '00', 0, 1)
(87, '1', '2108', '05', '00', 0, 1)
(87, '1', '2209', '01', '00', 1989, 1)
(87, '1', '2209', '04', '00', 0, 1)
(87, '1', '2108', '09', '00', 0, 1)
(87, '1', '2108', '11', '00', 0, 1)
(87, '1', '2406', '03', '00', 0, 1)
(87, '1', '4102', '03', '00', 17493072, 1)
(87, '1', '4103', '06', '02', 0, 1)
(87, '1', '4103', '09', '02', 0, 1)
(87, '1', '4103', '58', '02', 0, 1)
(87, '1', '4103', '50', '02', 0, 1)
(87, '1', '1305', '01', '00', 15062, 1)
(87, '1', '1305', '02', '00', 260478.00000000003, 1)
(87, '1', '1305', '03', '00', 21213, 1)
(87, '1', '1305', '05', '00', 118827, 1)
(87, '2', '1801', '01', '00', 0, 1)
(87, '2', '1801', '02', '00', 0, 1)
(87, '4', '1101', '01', '00', 404104932, 1)
(87, '4', '1101', '05', '00', 1056106, 1)
(87, '4', '1101', '04', '00', 0, 1)
(87, '4', '1102', '02', '02', 0, 1)
(87, '4', '1202', '01', '00', 0, 1)
(87, '4', '1202', '02', '00', 0, 1)
(87, '4', '1305', '01', '00', 74712, 1)
(87, '4', '1305', '02', '00', 1292053, 1)
(87, '4', '1305', '03', '00', 105222, 1)
(87, '4', '1305', '05', '00', 589423, 1)
(87, '4', '2201', '11', '00', 500000, 1)
(87, '4', '1804', '15', '00', 147100, 1)
(87, '4', '1601', '02', '00', 0, 1)
(87, '4', '1102', '32', '02', 0, 1)
(87, '4', '1805', '03', '01', 145625, 1)
(87, '4', '1805', '04', '01', 6688198, 1)
(87, '4', '2208', '04', '00', 0, 1)
(87, '4', '1203', '01', '00', 0, 1)
(87, '4', '1203', '02', '00', 8173, 1)
(87, '4', '2201', '18', '00', 0, 1)
(87, '5', '1805', '02', '00', 0, 1)
(87, '5', '1101', '06', '01', 0, 1)
--------------------------------------------------------------------------------
Таблица:  itog
('140100', 18, 2536960)
('140100', 83, 29769200)
('140100', 87, 14800)
('110200', 18, 1422100)
('110200', 83, 2701196)
('110200', 87, 0)
('210100', 18, 0)
('210100', 83, 0)
('130200', 18, 6050)
('130200', 83, 110626)
('130200', 87, 1955)
('130300', 18, 0)
('210810', 18, 0)
('210810', 83, 0)
('210810', 87, 0)
('310100', 83, 0)
('310100', 87, 0)
('190700', 18, 0)
('190700', 83, 0)
('190700', 18, 0)
('190700', 83, 0)
('190700', 87, 0)
('190700', 18, 87700)
('190700', 83, 493000)
('190700', 87, 251600)
('190700', 18, 0)
('190700', 83, 22940)
('190700', 87, 0)
('190600', 18, 21000)
('190600', 83, 263400)
('190600', 87, 143000)
('190100', 18, 71994)
('190100', 83, 0)
('190100', 87, 0)
('190100', 18, 0)
('190100', 83, 0)
('190100', 87, 0)
('140107', 18, 0)
('110100', 18, 51347743)
('110100', 83, 744642345)
('110100', 87, 405161038)
('110100', 18, 0)
('110100', 83, 0)
('110100', 87, 0)
('130102', 18, 0)
('130102', 83, 0)
('130102', 87, 0)
('190401', 18, 60125)
('130501', 18, 1283014)
('130501', 83, 203953)
('130501', 87, 74712)
('130502', 18, 873719)
('130502', 83, 1718291)
('130502', 87, 1292053)
('130503', 18, 161383)
('130503', 83, 170655)
('130503', 87, 105222)
('130505', 18, 148489)
('130505', 83, 980954)
('130505', 87, 589423)
('110202', 18, 0)
('110202', 83, 0)
('110202', 87, 0)
('110202', 83, 0)
('110202', 87, 0)
('180415', 18, 45900)
('180415', 83, 256900)
('180415', 87, 147100)
('180400', 18, 117800)
('180400', 83, 1037500)
('180400', 87, 760500)
('130299', 18, 6050)
('130299', 83, 110626)
('130299', 87, 1955)
('130299', 18, 0)
('130399', 18, 0)
('130399', 18, 0)
('220100', 18, 75000)
('220100', 83, 1350000)
('220100', 87, 500000)
('310100', 18, 0)
('310100', 83, 0)
('240600', 83, 0)
('240600', 83, 0)
('240600', 87, 0)
('240600', 18, 0)
('240600', 83, 7400)
('240600', 87, 0)
('240600', 18, 0)
('240600', 83, 0)
('240600', 87, 0)
('240600', 18, 0)
('240600', 83, 0)
('240600', 87, 0)
('190100', 18, 63844)
('190100', 83, 0)
('190100', 87, 0)
('190100', 18, 0)
('190100', 83, 0)
('190100', 87, 0)
('180501', 18, 400000)
('180501', 83, 1136640)
('180501', 87, 145625)
('180502', 18, 0)
('180502', 83, 0)
('180502', 87, 0)
('180502', 18, 604428)
('180502', 83, 7724042)
('180502', 87, 6688198)
('120200', 18, 0)
('120200', 83, 0)
('120200', 87, 0)
('120200', 18, 86800)
('120200', 83, 0)
('120200', 87, 0)
('120200', 18, 0)
('120200', 83, 0)
('120200', 87, 0)
('120200', 18, 0)
('120200', 83, 1555777)
('120200', 87, 8173)
('180100', 18, 0)
('180100', 83, 0)
('180100', 87, 0)
--------------------------------------------------------------------------------
Таблица:  bank_sum
('ПДВ', 29769200, 14800, 2536960)
('Податок на прибуток', 2701196, 0, 1422100)
('Частина чистого прибутку', 0, None, 0)
('Вода', 110626, 1955, 6050)
('Виноградарство', 263400, 143000, 21000)
('Надра', None, None, 0)
('Пеня у сферi ЗЕД', 0, 0, 0)
('Реалізація безх. майна', 0, 0, 0)
('Реалізація безх. майна', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 87700)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 87700)
('Iнші', 0, 251600, 0)
('Iнші', 0, 251600, 0)
('Iнші', 0, 251600, 0)
('Iнші', 0, 251600, 87700)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 87700)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 87700)
('Iнші', 0, 251600, 0)
('Iнші', 0, 251600, 0)
('Iнші', 0, 251600, 0)
('Iнші', 0, 251600, 87700)
('Iнші', 22940, 0, 0)
('Iнші', 22940, 0, 0)
('Iнші', 22940, 0, 0)
('Iнші', 22940, 0, 87700)
('Iнші', 22940, 0, 0)
('Iнші', 22940, 0, 0)
('Iнші', 22940, 0, 0)
('Iнші', 22940, 0, 87700)
('Iнші', 22940, 251600, 0)
('Iнші', 22940, 251600, 0)
('Iнші', 22940, 251600, 0)
('Iнші', 22940, 251600, 87700)
('Iнші', 493000, 0, 0)
('Iнші', 493000, 0, 0)
('Iнші', 493000, 0, 0)
('Iнші', 493000, 0, 87700)
('Iнші', 493000, 0, 0)
('Iнші', 493000, 0, 0)
('Iнші', 493000, 0, 0)
('Iнші', 493000, 0, 87700)
('Iнші', 493000, 251600, 0)
('Iнші', 493000, 251600, 0)
('Iнші', 493000, 251600, 0)
('Iнші', 493000, 251600, 87700)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 0)
('Екологiчний податок', 0, 0, 63844)
('Екологiчний податок', 0, 0, 71994)
('ПДВ перероб. пiдр-в', None, None, 0)
('Податок на доходи', 0, 0, 0)
('Податок на доходи', 0, 0, 51347743)
('Податок на доходи', 0, 405161038, 0)
('Податок на доходи', 0, 405161038, 51347743)
('Податок на доходи', 744642345, 0, 0)
('Податок на доходи', 744642345, 0, 51347743)
('Податок на доходи', 744642345, 405161038, 0)
('Податок на доходи', 744642345, 405161038, 51347743)
('Лiсовi ресурси', 0, 0, 0)
('Фiксований сiльськогосп.', None, None, 60125)
('Земля юр. осіб', 203953, 74712, 1283014)
('Оренда юр. осіб', 1718291, 1292053, 873719)
('Земля фіз. осіб', 170655, 105222, 161383)
('Оренда фіз. осіб', 980954, 589423, 148489)
('Податок на прибуток', 0, 0, 0)
('Податок на прибуток', 0, 0, 0)
('Податок на прибуток', 0, 0, 0)
('Податок на прибуток', 0, 0, 0)
('Патенти', 1037500, 760500, 117800)
('Вода', 110626, 1955, 0)
('Вода', 110626, 1955, 6050)
('Надра', None, None, 0)
('Надра', None, None, 0)
('Плата за лiцензiї', 1350000, 500000, 75000)
('Реалізація безх. майна', 0, 0, 0)
('Реалізація безх. майна', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
('Iнші', 0, 0, 0)
